# SPDX-License-Identifier: CC-BY-4.0
doc_id	title	authors	abstract	fields_of_study	doi_or_url	license
76	A Cobalt-Iron Double-Atom Catalyst for the Oxygen Evolution Reaction	Lichen Bai; Chia-Shuo Hsu; Duncan T.L. Alexander; Hao Ming Chen; Xile Hu	Single atom catalysts exhibit well-defined active sites and potentially maximum atomic efficiency. However, they are unsuitable for reactions that benefit from bimetallic promotion such as the oxygen evolution reaction (OER) in alkaline medium. Here we show that a single atom Co precatalyst can be in-situ transformed into a Co-Fe double atom catalyst for OER. This catalyst exhibits one of the highest turnover frequencies among metal oxides. Electrochemical, microscopic, and spectroscopic data including those from operando X-ray absorption spectroscopy, reveal a dimeric Co-Fe moiety as the active site of the catalyst. This work demonstrates double-atom catalysis as a promising approach for the development of defined and highly active OER catalysts.	Inorganic Chemistry; Physical Chemistry; Catalysis	https://doi.org/10.26434/chemrxiv.8131235.v1	CC BY 4.0
77	A Combined Kinetic and Computational Analysis of the Palladium-Catalysed Formylation of Aryl Bromides	Georgina Rai; Lee J. Edwards; Rebecca L. Greenaway; Philip W. Miller; Katherine M. P. Wheelhouse; Mark R. Crimmin	Aryl aldehydes are key synthetic intermediates in the manufacturing of active pharmaceutical ingredients. They are generated on scale (>1000 kg) through the palladium-catalysed formylation of aryl bromides using syngas (CO:H₂). The best-in-class catalyst system for this reaction employs di-1-adamantyl-n-butylphosphine (cataCXium â A), palladium(II) acetate, and tetramethylethylenediamine. Despite nearly 20 years since its initial report, a mechanistic understanding of this system remains incomplete. Here we use automation, kinetic analysis, and DFT calculations to develop a new mechanistic model for this best-in-class catalyst. We show that a combination of the migratory insertion step and dihydrogen activation step are likely involved in the turnover-limiting sequence. The reaction kinetics are responsive to the nature of the substrate, with electron-rich aryl bromides reacting faster and more selectively than their electron-poor counterparts due to the influence of electronics in the migratory insertion step. Our findings overturn the current paradigm and provide new mechanistic insight into palladium-catalysed formylation of aryl bromides.	Organometallic Chemistry; Catalysis; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2024-78sb1	CC BY 4.0
78	A [Cu^II]_24 truncated octahedron and its [Cu^II]_8 building block	Lucinda R. B. Wilson; Gary S. Nichol; Scott J. Dalgarno; Euan K. Brechin	Reaction of CuCl2·2H2O with p-tert-butylthiacalix[4]arene (H₄TC[4]A) affords a [Cu^II]_24 cage whose metallic skeleton conforms to a truncated octahedron in which the metal ions are strongly antiferromagnetically coupled. A structurally related [Cu^II]_8 cluster can be made using CuBr2 in an otherwise identical reaction.	Inorganic Chemistry; Materials Chemistry	https://doi.org/10.26434/chemrxiv-2025-l2tk4	CC BY 4.0
79	A Database of Low-Energy Atomically Precise Nanoclusters	Sukriti Manna; Alberto Hernandez; Yunzhe Wang; Peter Lile; Shanping Liu; Tim Mueller	The chemical and structural properties of atomically precise nanoclusters are of great interest in numerous applications, but the structures of the clusters can be computationally expensive to predict. In this work, we present the largest database of cluster structures and properties determined using ab-initio methods to date. We report the methodologies used to discover low-energy clusters as well as the energies, relaxed structures, and physical properties (such as relative stability, HOMO-LUMO gap among others) for over 50,000 clusters across 55 elements. We have identified 589 structures which have energies lower than any previously reported in the literature by at least 1 meV/atom, and we have identified 1340 new structures for clusters that were previously unexplored in the literature. Patterns in the data reveal insights into the chemical and structural relationships among the elements at the nanoscale. We describe how the database can be accessed for future studies and the development of nanocluster-based technologies.	Materials Science; Nanoscience; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2021-0fq3q	CC BY 4.0
80	A Fast Neural Network for Isotopic Charge State Assignment	John G. Pavek; Nicholas E. Bollis; Josiah Grimes; Michael R. Shortreed; Lloyd M. Smith; Michael T. Marty	Electrospray ionization (ESI) mass spectrometry is an essential technique for chemical analysis in a range of fields. In ESI, analytes can produce multiple charge states, which must be correctly assigned for identification. Existing approaches to charge state assignment can suffer from limited accuracy and/or poor speed. Here, we developed a fast deep learning neural network to perform isotopic cluster charge assignment. The performance of our algorithm, IsoDec, was demonstrated on top-down proteomics spectra collected on diverse instruments. On these highly complex individual spectra, we found that IsoDec produces similar sequence coverage to existing software tools but with improved accuracy. Importantly, this performance enhancement stems directly from the neural network charge assignment approach, not simply improved scoring and filtering of isotopic clusters. Finally, when applied to large top-down proteomics data sets, we discovered that IsoDec produces proteoform-spectrum matches with a better combination of coverage and accuracy. Overall, IsoDec provides a compelling demonstration of the potential of lightweight neural networks in mass spectrometry data analysis for diverse applications.	Analytical Chemistry; Biological and Medicinal Chemistry	https://doi.org/10.26434/chemrxiv-2025-f2p26-v2	CC BY 4.0
81	A Green and Fast Method for PEDOT: Photoinduced Step-Growth Polymerization of EDOT	Kerem Kaya	The first green and fast photoinduced step-growth polymerization of 3,4-ethylenedioxythiophene (EDOT) producing high molecular weight poly (3,4-ethylenedioxythiophene) (PEDOT) is reported. Phenacyl bromide was used as a single-component photoinitiating system under a broad wavelength range. The reported photooxidative polymerization technique has several advantages over the conventional oxidation methods (chemical/electrochemical) such as the use of green solvent and ambient conditions (room temperature and air atmosphere), doping of the polymer with bromide ions during the photopolymerization reaction, possibility to perform bulk photopolymerization and tune the irradiation wavelength depending on the phenacyl bromide concentration. Doped PEDOT synthesized under near-UV irradiation was thoroughly investigated using different spectral and chromatographic methods. It has high conductivity (1.6 S/cm), high molecular weight (32.5 kg/mol) and strong white light photoluminescence.	Polymer Science; Materials Science; Physical Chemistry; Materials Chemistry; Nanoscience; Catalysis	https://doi.org/10.26434/chemrxiv-2022-f8l44	CC BY 4.0
82	A Light-controlled, Solvent-induced Spin-State Switching in a 3D Hexagonal Heterobimetallic Network	Krishna Kaushik; Suprabha Pradhan; Sakti Mehta; Sujit Kamalya; Rodrigue Lescouëzec; Pradip Kumar Mondal; Mathieu Rouzières; Jiri Pechar; Yanling Li; Abhishek Mondal	A cyanide bridged (4d-3d) heterobimetallic assembly of Mo(V)-Fe(II) with formula [(Mo(V)(CN))3[Fe(II)(v-im)2]·BF4]·2DMF·H2O (1-2DMF·H2O) was achieved by the self-assembly of [Mo(CN)]3− and iron(II) with monodentate nitrogen donor ligand v-im (v-im = 1-Vinylimidazol). The complex was fully characterized by single-crystal X-ray diffraction analyses, spectroscopic and (photo)magnetic studies. Single crystal X-ray analyses revealed that the complex exhibits a three-dimensional (3D) hexagonal network structure of molybdenum(V) and iron(II) centers bridged by the cyanide ligands. The partially desolvated form 1:2DMF exhibit thermo-induced spin crossover (SCO) between LS Fe(II) and HS Fe(II) center over a wide range of temperature and light-controlled spin-state switching phenomenon at low temperature under light irradiation with T1/2 = 70 K whereas the fully solvated complex 1:2DMF·H2O remains in the HS state. This complex represents the first 3D coordination complex consists of iron(II) and [Mo(V)(CN)]3− units exhibiting reversible and complete SCO phenomenon and photo-magnetic effect.	Inorganic Chemistry; Materials Science; Physical Chemistry; Organometallic Chemistry; Nanoscience	hhttps://doi.org/10.26434/chemrxiv-2025-q8wkl	CC BY 4.0
83	A New Perspective on Aqueous Electrolyte Solutions	Gerhard Schwaab; Simone Pezzotti	Aqueous electrolyte solutions are central to many natural phenomena and industrial applications leading to continuous development of increasingly complex analytical models. These are based on an atomistic description of ion-ion electrostatic interactions combined with mean-field approaches for the dielectric response of water. Despite many achievements, these concepts fail to quantitatively describe situations where ion-ion correlation and specific solvation become relevant, such as for concentrated electrolyte solutions. Here, we propose a change of perspective, by introducing a statistical, coarse-grained view to describe the average thermodynamic properties of aqueous electrolyte solutions. This approach bypasses the need to define ion-pairs or ion-complexes and does not require any prior knowledge on specific solvation. We base our concept on separating the solution into a spherical observation droplet whose size and average composition are uniquely determined by the solution parameters, and its environment consisting of the remaining solution. This allows us to express the droplet-environment interaction in terms of a generalized multipole expansion, i.e. in a convenient, additive way. We applied this approach to 135 electrolytes including some notoriously complex electrolytes, such as LiCl or ZnCl$_2$ over the full solubility range. This paves the road toward understanding super-saturated and water-in-salt solutions and electrolyte nucleation.	Physical Chemistry; Analytical Chemistry; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2025-mwspf-v3	CC BY 4.0
84	A REVIEW ON APPLICATIONS AND PREPARATION METHODS USED FOR THE DEVELOPMENT OF CURCUMIN NANOPARTICLE	Varun R. Mali	The design and development of Curcumin nanoparticles has attracted and established torrential research in nano formulation matrix. By appearance Curcumin is an orange crystalline powder which is derived or obtained from the herbs Curcumin Longa Linn (Zingiberaceae). The Curcumin is natural hydrophobic polyphenol compound which has proven to be a quintessential medicine in ancient China and many parts of Southeast and central Asia. Curcumin as a substance is vitally used in medicine and some food industry as it supplies many biological and pharmacological activities such as antioxidant, anti-inflammatory, anti-microbial, anti-illness and diseases but clinical application of this compound is limited due to its bioavailability, poor water solubility, fast metabolism and susceptibility to degradation in the alkaline medium. The most important methods to enhance the poor biopharmaceutical properties of Curcumin is to enhance aqueous solubility and bioavailability by using nanotechnology and nanoparticles having a small size in nanometer range. This review provides an overview of application and preparation of Curcumin nanoparticles including the advantages and limitations.	Nanoscience; Materials Chemistry; Biological and Medicinal Chemistry	https://doi.org/10.26434/chemrxiv-2025-lvhh3	CC BY 4.0
85	A Simplified Model of Iterative Compound Optimization	John S. Delaney	This paper presents a simplified model of iterative compound optimization in drug/agrochemical discovery. Compounds are represented as binary strings, with project evolution simulated through random bit changes. The model reproduces key statistical features of real projects, including activity distributions and time-series characteristics. This framework enables statistical simulation of compound optimization, potentially aiding project planning and resource estimation.	Analytical Chemistry; Chemical Engineering and Industrial Chemistry; Organometallic Chemistry; Physical Chemistry; Theoretical and Computational Chemistry; Materials Chemistry	https://doi.org/10.26434/chemrxiv-2024-g1pcp-v2	CC BY 4.0
86	Accelerated stochastic simulation of free radical polymerization through a hybrid algorithm	Hang Yin; Yinghao Li; Wenxin Wang; Jing Lyu	Stochastic Simulation Algorithms (SSA) are a cornerstone in simulating Free Radical Polymerization (FRP) due to their accuracy and reliability. However, computational inefficiency remains a challenge for large-scale and complex polymerization systems. This work introduces a novel stochastic simulation algorithm designed to significantly enhance computational efficiency while maintaining high accuracy. By streamlining simulation processes, the proposed algorithm reduces computational time and extends the scalability of stochastic methods. Beyond FRP, the algorithm is also applied to Degenerative Transfer (DT) systems as a demonstration of its versatility. These results showcase the algorithm’s potential as a universal tool for accelerating stochastic simulations in polymer science, enabling deeper insights and broader applications across various polymerization processes.	Polymer Science; Materials Science	https://doi.org/10.26434/chemrxiv-2025-gxj4r	CC BY 4.0
87	Accurate Free Energy Calculation via Multiscale Simulations Driven by Hybrid Machine Learning and Molecular Mechanics Potentials	Xujian Wang; Xiongwu Wu; Bernard R. Brooks; Junmei Wang	"Our study focused on the implementation and testing of machine learning interatomic potentials (MLIPs) into the AMBER software suite. This implementation enables us to perform a novel type of molecular dynamics simulation utilizing the hybrid machine learning/molecular mechanics (ML/MM) potentials. To underpin the capabilities of ML/MM simulations, we first validated our implementation at a fundamental physical level by confirming energy and momentum conservation laws. The successful validation indicates that our implementation is able to produce adequate and physically interpretable samplings. Building upon this, for the first time to the best of our knowledge, we proposed an ML/MM-compatible thermodynamic integration (TI) protocol to tackle real-world challenges, such as solvation free energy calculation. Our results demonstrate that this computational protocol can predict hydration free energies with an accuracy of less than 1.00 kcal/mol compared to experimental data, paving the way for the use of ML/MM in multiscale simulations to addressing future drug design problems. Moreover, by applying ML/MM in molecular dynamics simulations of protein-ligand complexes, we demonstrated that the adequate samplings enable us to accurately reproduce experimental binding free energies. Thus, our implementation can offer new insights into biomolecular systems using the ML/MM ""microscope"". Last, we demonstrated that our implementation can achieve nanosecond timescale simulations daily after significant effort being put to improve the code performance. In a conclusion, we have successfully implemented ML/MM potential to AMBER software package after overcoming limitations in current multi-scale simulations including low computational efficiency. We have advanced TI theory allowing us to accurately predict free energies with ML/MM potentials."	Theoretical and Computational Chemistry; Materials Science	https://doi.org/10.26434/chemrxiv-2024-zq975-v2	CC BY 4.0
88	Addressing Standardization and Semantics in an Electronic Lab Notebook for Multidisciplinary Use: LabIMotion	Chia-Lin Lin; Pei-Chi Huang; Christof Wöll; Patrick Théato; Christian Kübel; Nicole Jung; Stefan Bräse	This work presents the LabIMotion extension for the Chemotion Electronic Lab Notebook (ELN), expanding its capabilities from organic chemistry to support interdisciplinary research and enabling the description of workflows. LabIMotion enhances documentation by introducing customizable components structured across three levels—Elements, Segments, and Datasets—enabling flexible, hierarchical organization and reuse of data. Through the integration of links to ontologies, the extension ensures precise, machine-readable data, promoting interoperability and adherence to FAIR principles. The extension features a user-friendly interface that allows users to generate new ELN content by the application of generic methods, ensuring that the platform can be quickly adapted to meet specific research needs. The LabIMotion Hub plays a crucial role in distributing and updating components, fostering standardization, and enabling collaborative development within scientific communities. These advancements significantly improve the ELN's adaptability, usability, and relevance across various research disciplines.	Chemical Engineering and Industrial Chemistry; Materials Chemistry; Chemical Education	https://doi.org/10.26434/chemrxiv-2024-d8ssv	CC BY 4.0
89	Advanced Computational Insights into Ni(II) Schiff Base Complexes: Addressing Sluggish Kinetics and Stability Challenges in Oxygen Reduction Reaction Catalysis	Chidi Daniel Chukwu	The development of efficient and stable catalysts for the oxygen reduction reaction (ORR) remains a critical challenge in the pursuit of next-generation energy technologies. In this study, we designed and investigated a Ni (II) Schiff base complex as a potential solution to address the sluggish kinetics and stability limitations of ORR catalysts. A comprehensive computational approach was adopted, integrating ChemDraw for molecular modeling, DMol³ in Material Studio for electronic structure and catalytic property calculations, and MATLAB for precise overpotential analysis. The Ni (II) complex demonstrated a significantly lower overpotential (−0.55) compared to its Co(II) counterpart (−4.95), highlighting its superior catalytic efficiency and faster reaction kinetics. The Schiff base ligand, with its robust chelating ability and electronic tunability, facilitated the stabilization of intermediates and optimized the electronic properties of the Ni (II) center, enabling efficient electron transfer and intermediate transitions. Gibbs free energy calculations revealed a pathway with hydroperoxide (HO₂⁻) as the first intermediate, further validating the thermodynamic feasibility and kinetic superiority of the Ni (II) complex. These findings underscore the Schiff base ligand as an ideal framework for designing high-performance catalysts and demonstrate the potential of the Ni (II) complex for ORR applications in fuel cells and metal-air batteries. This study provides valuable insights into leveraging computational tools for catalyst design and emphasizes the need for further exploration of Schiff base ligands in energy catalysis to address global energy demands.	Theoretical and Computational Chemistry; Catalysis; Energy	https://doi.org/10.26434/chemrxiv-2025-sbm6r	CC BY 4.0
90	Advancing Dearomative Difluoromethylation of $N$-heterocycles and Pharmaceuticals	Sandeep Kumawat; Tarun Bhatt; Kishore Natte	Given the significant prevalence of $N$-heterocycles in small-molecule pharmaceuticals, the selective incorporation of a difluoromethyl (-CF2H) motif and the creation of a new functional group within the same molecular framework are of paramount importance in drug discovery and development. However, such integrated approaches remain underexplored, presumably due to the lack of efficient synthetic methods. In the present research, we introduce a new platform and broadly applicable technique for the difluoromethylation of various $N$-heterocyclic substrates using low-cost and commercially available bromo(difluoro)acetic acid in the presence of K2CO3 at room temperature to produce >70 desired complex Het-NCF2H products featuring either imine and/or ketone functional group, which were hitherto impossible to produce. Depending on the type of $N$-heterocycle, this advance also permits the inclusion of two CF2H units. Crucial to success is the more nucleophilicity and less steric hindrance on the nitrogen atom of the heteroarene ring that enables $N$-difluoromethylative dearomatization of $N$-heterocycles. Overall, this unique transformation was transition metal-free, practical, scalable (>50 grams), tolerant to diverse reactive functional groups with excellent chemoselectivity, adaptable to diversities of challenging $N$-heteroaromatic ring systems, and could be used for the late-stage diversification of 18 commercial drug molecules. Mechanistic investigation revealed the formation of $N$-difluoromethylquinolinium salt as a key intermediate, which occurs via nucleophilic substitution followed by decarboxylation with bromo(difluoro)acetic acid. Ultimately, we have also unveiled a prominent synthetic application for rapid hydrodefluorinative reduction in a single step to access complex $N$-methylated Fsp^3-enriched motif. This cost-effective strategy encompasses a full package of medicinally important functionalities (heterocycle, -NCF2H, and imine/keto), making them highly valuable in the preparation of chemical libraries and effective drugs.	Organic Chemistry; Materials Chemistry; Biological and Medicinal Chemistry	https://doi.org/10.26434/chemrxiv-2025-cdx1m	CC BY 4.0
91	Amide - amine + alcohol = carboxylic acid." Chemical reactions as linear algebraic analogies in graph neural networks.	Amer Marwan El-Samman; Stijn De Baerdemacker	In deep learning methods, especially in the context of chemistry, there is an increasing urgency to uncover the hidden learning mechanisms often dubbed as “black box.” This work shows that graph models built on computational chemical data behave similar to natural language processing (NLP) models built on text data. Atom-embeddings exhibit arithmetic properties that represent valid reaction formulas, similar to word analogies in NLP models. The observations find applications in transfer learning and uncover a latent model of chemistry that is highly structured, consistent, and analogous to chemical syntax.	Chemical Engineering and Industrial Chemistry; Materials Science; Theoretical and Computational Chemistry; Catalysis	https://doi.org/10.26434/chemrxiv-2024-fmck4	CC BY 4.0
92	Amino acid appended supramolecular self-associating amphiphiles demonstrate dual activity against both MRSA and ovarian cancer	Precious I. A. Popoola; Thomas L. Allam; Rebecca J. Lilley; Chandni Manwani; Olivia B. Keers; Junyang Tan; Kylie Yang; Yifan Long; Lisa J. White; Kira L. F. Hilton; Jennifer Rankin; Jennifer Baker; Charlotte Bennett; Hollie B. Wilson; Evelyn R. Morton; Alvaro Keskküla; J. Mark Sutton; Charlotte K. Hind; Michelle D. Garrett; Cally J. E. Haynes; Jennifer R. Hiscock	Differences in the lipid composition of prokaryotic and eukaryotic cell membranes are well understood and can be exploited to produce novel antimicrobials. However, what is less well recognised is that alteration in the phospholipid composition of the cell membrane is also one of the first phenotypic changes when a cell becomes cancerous. In addition, changes in phospholipid cell membrane composition are a known cause of drug resistance in both microbial disease and cancer. Here we present a series of chiral, amino acid appended supramolecular self-associating amphiphiles that suggest membrane active technologies can be used to simultaneously produce novel drugs in the fight against two of the greatest global health threats facing us today, antimicrobial resistant infections and cancer diseases. We demonstrate the antimicrobial and anticancer efficacy of this membrane active amphiphile technology against susceptible and resistant Staphylococcus aureus and ovarian cancer cells. We hypothesise a mode of action, building on a previous body of evidence, through a combination of vesicle, NMR spectroscopy and patch clamp experiments. We also provide evidence that supports the potential for this class of compound to be developed as pharmaceutical agents against these diseases through in vitro drug metabolism and pharmacokinetics experiments alongside in vivo Galleria mellonella toxicity experiments.	Biological and Medicinal Chemistry; Analytical Chemistry; Chemical Engineering and Industrial Chemistry	https://doi.org/10.26434/chemrxiv-2025-bjgl9	CC BY 4.0
93	1,3,5-Triazine-Functionalized Thermally Activated Delayed Fluorescence Emitters for Organic Light-Emitting Diodes	Dianming Sun; Changfeng Si; Tao Wang; Eli Zysman-Colman	The 1,3,5-triazine electron-acceptor has become one of the most popular building blocks for the design of thermally activated delayed fluorescence (TADF) materials. Many TADF design strategies are first applied in compounds that contain triazines, and there are numerous examples of OLEDs with triazine-containing emitters that show high efficiencies and long operating lifetimes. We provide a comprehensive review of triazine-containing TADF emitters. This review is organized according to the triazine-derived structural motifs, such as number and position of electron-donor groups in donor-acceptor type emitters, the π-bridging linkers employed, and the design of through-space charge-transfer (TSCT) emitter. We correlate the structure of the compounds with their optoelectronic properties and the corresponding performance of the organic light-emitting diode devices.	Materials Chemistry; Organic Chemistry	https://doi.org/10.26434/chemrxiv-2022-pl4k2	CC BY 4.0
94	1’-cyano substitution of Remdesivir exerts the “template-dependent” inhibition on the viral transcription of SARS-CoV-2	Xueying Luo; Xiaowei Wang; Xin Gao; Lu Zhang	Remdesivir is one nucleotide analog prodrug capable to terminate RNA synthesis in SARS-CoV-2 RdRp by two distinct mechanisms. The “delayed chain termination mechanism” has been extensively investigated, while the “template-dependent inhibition mechanism” remains elusive. In this study, we have demonstrated that Remdesivir embedded in the template strand seldom directly disrupted the complementary NTP incorporation at the active site. Instead, the translocation of the template strand from +2 to +1 site was hindered, as the 1’-cyano group of Remdesivir would sterically clash with V557. Moreover, we have elucidated the molecular mechanism of how SARS-CoV-2 RdRp gained the drug resistance to Remdesivir upon V557L mutation. Overall, our studies provided valuable insight into the “template-dependent inhibition mechanism” exerted by Remdesivir on SARS-CoV-2 RdRp and paved venues for an alternative drug design strategy for the treatment of COVID-19. The outbreak of coronavirus disease 2019 (COVID-19) has become a global pandemic, and over 455 million confirmed cases have been reported by March, 2022. Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the novel coronavirus that has caused COVID-19 and can be furtively transmitted among humans. To curb the healthy crisis, great efforts have been devoted to exploring the effective treatment for COVID-19. The core polymerase complex of SARS-CoV-2 has become one promising antiviral drug target. It is the minimal scaffold to mediate the RNA synthesis and plays a central role in viral replication and transcription. It is composed of three non-structural proteins (nsp) (Fig. 1A), where nsp12 mainly conducts the RNA synthesis in the active site, and nsp7 and nsp8 serve as cofactors to stimulate RNA-dependent RNA polymerase (RdRp) activity. Since the outbreak of the pandemic, nucleotide analogs have been widely explored as potential inhibitors to terminate the RNA synthesis in SARS-CoV-2 RdRp. Remdesivir is one representative nucleotide analog prodrug that has demonstrated therapeutic efficacy in the animal model of SARS-CoV-2 RdRp and effectively terminated viral RNA synthesis in the biochemical experiments through “delayed termination mechanism”. The chemical structure of Remdesivir’s active form (RDV-TP) resembles that of natural adenosine triphosphate (ATP). Previous studies have demonstrated that RDV-TP can efficiently compete with ATP incorporating into the nascent strand. However, three NTPs can still be consecutively added into the nascent strand after the incorporation of RDV-TP and the termination is delayed. This is because that the 1’-cyano group of Remdesivir could form steric and electrostatic interactions with the protein residues when it translocates from -3 to -4 site. In addition, biochemical experiments have further demonstrated that such termination can be overcome by increasing the concentration of the NTP pool and the full-length product containing Remdesivir in the RNA strand can be formed under biologically relevant condition. Intriguingly, an alternative but more dominant inhibitory mechanism of Remdesivir on SARS-CoV-2 RdRp has been proposed, in which Remdesivir shows stronger resistance to the NTP concentration increment when it was present at the template strand. In this scenario, the copy of RNA strand embedded with Remdesivir was used as the template and exerted the “template-dependent inhibition”, where the UTP incorporation complementary to Remdesivir is inhibited. Interestingly, such inhibition can be significantly reduced by the point mutation V557L. These observations have altogether suggested that the presence of Remdesivir at the template strand offers the second oppo	Biological and Medicinal Chemistry; Chemical Engineering and Industrial Chemistry	https://doi.org/10.26434/chemrxiv-2022-25cs3	CC BY 4.0
95	11B NMR Together with IR Spectroscopy Provides Insight into Structural Elucidation of Quadrivalent Diazaborines & Cyclic Boronate Esters: The Chemist’s Perspective	Ashley L. Dey	Imidazo-fused diazaborines which serve as intermediary structures somewhat along benzene and borazine had been of particular interest to Dewar and Snyder more than 60 years ago. To this end, Dewar utilised his ‘π-complex theory’ so as to represent ‘borazaro’ as ‘quadrivalent’ species; however, sadly modern representations have deviated and leapt into ‘trivalent’ counterparts. Inasmuch as bonding in boron species has never been straightforward to such an extent that the orthodox ‘ethane’ like diborane i.e. H3B–BH3 which conferred to the paradigmatic rules of molecular structure, in particular, hybridisation and electronegativity was later evolved to a more realistic ‘3-centre 2-electron’ bonding, so as to give the lie to the purported diborane structures of X-ray diffractors, herein 11B NMR together with IR spectroscopy sheds light on the nature of bonding in borazaro and ‘caged’ cyclic oxazaboronos so as to reenforce and reinvigorate the old literature which could be of interests to the synthetic and medicinal chemist alike.	Analytical Chemistry; Physical Chemistry; Materials Chemistry; Organometallic Chemistry; Biological and Medicinal Chemistry; Theoretical and Computational Chemistry; Catalysis; Organic Chemistry	https://doi.org/10.26434/chemrxiv-2023-jkfwv-v2	CC BY 4.0
96	^{17}O NMR spectroscopy reveals CO2 speciation and dynamics in hydroxide-based carbon capture materials	Benjamin J. Rhodes; Lars L. Schaaf; Mary E. Zick; Suzi M. Pugh; Jordon S. Hilliard; Shivani Sharma; Casey R. Wade; Phillip J. Milner; Gábor Csányi; Alexander C. Forse	Carbon dioxide capture technologies are set to play a vital role in mitigating the current climate crisis. Solid-state ^{17}O NMR spectroscopy can provide key mechanistic insights that are crucial to effective sorbent design and development. In this work, we present the fundamental aspects and complexities for the study of hydroxide-based CO2 capture systems by ^{17}O NMR spectroscopy. We perform static DFT NMR calculations to assign peaks for general hydroxide CO2 capture products, finding that ^{17}O NMR can readily distinguish between bicarbonate, carbonate and water species. However, in application to CO2 binding in two test case hydroxide-functionalised metal-organic frameworks – MFU-4l and KHCO3-CD-MOF, we find that a dynamic treatment is necessary to obtain agreement between computational and experimental spectra. We therefore introduce a workflow that leverages machine-learning force fields to capture dynamic effects across multiple chemical exchange regimes, providing a significant improvement on static DFT predictions. In MFU-4l, we parameterise, in a pre-determined fashion, a two-component dynamic motion of the bicarbonate motif involving a rapid carbonyl seesaw motion and intermediate hydroxyl proton hopping. For KHCO3-CD-MOF, we combined experimental and modelling approaches to propose a new mixed carbonate-bicarbonate binding mechanism and thus, we open new avenues for the study and modelling of hydroxide-based CO2 capture materials by ^{17}O NMR spectroscopy.	Physical Chemistry; Materials Chemistry; Analytical Chemistry; Chemical Engineering and Industrial Chemistry; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2024-c0vmg	CC BY 4.0
97	2019-nCoV vs. SARS-CoV: Which Truly Has a Higher ACE2 Affinity? A Quantum Chemical Perspective on Virus-Receptor Noncovalent Interactions	Nitai Sylvetsky	While the title question is still a matter for ongoing debate, current hypotheses suggest that a few particular amino acid substitutions are responsible for the ACE2 affinity differences between the two viruses (the spike proteins of which exhibit 76% sequence identity, and are therefore assumed to adopt similar folded structures). In the present paper, noncovalent interaction energetics associated with said substitutions are assessed by means of B3LYP/TZVP electronic structure calculations on a representative set of geometries – chosen to reflect different biochemically-significant spatial organizations of the amino acid residues at hand. We found that the sum and (unbiased-)average of calculated interaction energetics under consideration are larger in SARS-CoV compared to 2019-nCoV. Thus, we hereby challenge earlier predictions claiming a higher ACE2 affinity for 2019-nCoV employing “chemical-intuition”-based analyses of said substitutions alone. We also demonstrate that the latter predictions are potentially somewhat-biased for being based on a SARS-CoV–ACE2 crystal structure – which should not be expected to represent a bound spike-protein–receptor complex in physiological conditions. By comparing electronic-structure-based results with ones obtained using the widely-used MMFF94 molecular mechanics force-field, we show that despite being specifically parametrized for van der Waals interactions – such classical force fields might prove inadequate in cases where only several, well-defined noncovalent binding factors are assumed to play crucial roles in biochemically-significant binding events.	Organic Chemistry; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv.12063153.v1	CC BY 4.0
98	27Al NMR chemical shifts in zeolite MFI via machine learning acceleration of structure sampling and shift prediction	Daniel Willimetz ,Andreas Erlebach ,Christopher J. Heard ,Lukáš Grajciar 	Zeolites, such as MFI, are versatile microporous aluminosilicate materials that are widely used in catalysis and adsorption processes. In this study, advanced machine learning-based methods are deployed to predict $^{27}$Al chemical shifts in zeolites, complemented by molecular dynamics simulations with neural network potentials. The research explores various conditions relevant to catalysis and demonstrates the impact of water content and temperature on chemical shifts in a T-site dependent manner, providing reliable predictions for complex industrially relevant materials.	Catalysis; Materials Science; Theoretical and Computational Chemistry	https://doi.org/10.26434/chemrxiv-2024-x7qx6	CC BY 4.0
99	2D Conjugated Polymers: Exploiting Topological Properties for the Rational Design of Metal-Free Photocatalysts	Yu Jing; Xinyue Zhu; Sabine Maier; Thomas Heine	Solar-to-hydrogen conversion is one of the most promising avenues to provide emission-free fuels and long-term chemical energy storage. Wide-range application crucially requires high-performance photocatalysts that are environmentally benign and free of precious metals. With high robustness, controllable composition, tunable electronic structure and high porosity, two-dimensional conjugated polymers (2DCPs) are among the most appealing candidates. We provide rational design principles for 2DCPs which are suitable for water splitting, highlight progress and open challenges in synthesis, and review the recent theory-based investigations on 2DCPs for photocatalysis. The role of theory as indispensable tool is highlighted, as it promotes the understanding of the inner relationship between geometry, electronic structure and photocatalytic performance of 2DCPs and therefore enables rational design of new photocatalysts.	Chemical Engineering and Industrial Chemistry; Materials Science; Physical Chemistry; Energy; Materials Chemistry; Nanoscience; Catalysis	https://doi.org/10.26434/chemrxiv-2022-mjnp6	CC BY 4.0
